id	owned_by	input_modalities	output_modalities	provider_count	providers	supports_tools_any	supports_structured_output_any	max_context_length
zai-org/GLM-5.2	zai-org	text	text	6	novita,together,fireworks-ai,featherless-ai,zai-org,deepinfra	true	true	262144
MiniMaxAI/MiniMax-M3	MiniMaxAI	text,image	text	4	novita,together,fireworks-ai,featherless-ai	true	true	524288
moonshotai/Kimi-K2.7-Code	moonshotai	text,image	text	5	novita,together,fireworks-ai,featherless-ai,deepinfra	true	true	262144
deepseek-ai/DeepSeek-V4-Pro	deepseek-ai	text	text	5	novita,together,fireworks-ai,featherless-ai,deepinfra	true	true	1048576
zai-org/GLM-5.2-FP8	zai-org	text	text	1	zai-org	false	false	unknown
Qwen/Qwen3.6-35B-A3B	Qwen	text,image	text	2	featherless-ai,deepinfra	true	true	262144
Qwen/Qwen3.6-27B	Qwen	text,image	text	3	featherless-ai,ovhcloud,deepinfra	true	true	unknown
deepseek-ai/DeepSeek-V4-Flash	deepseek-ai	text	text	4	novita,fireworks-ai,featherless-ai,deepinfra	true	true	1048576
zai-org/GLM-5.1	zai-org	text	text	5	together,fireworks-ai,featherless-ai,zai-org,deepinfra	true	true	202752
google/gemma-4-31B-it	google	text,image	text	4	novita,together,featherless-ai,deepinfra	true	true	262144
google/gemma-4-26B-A4B-it	google	text,image	text	3	novita,featherless-ai,deepinfra	true	true	262144
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	nvidia	text	text	2	together,fireworks-ai	true	true	512288
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16	nvidia	text	text	1	deepinfra	true	true	unknown
meta-llama/Llama-3.1-8B-Instruct	meta-llama	text	text	4	novita,nscale,featherless-ai,scaleway	true	true	131072
Qwen/Qwen3.5-9B	Qwen	text,image	text	4	together,featherless-ai,ovhcloud,deepinfra	true	true	262144
moonshotai/Kimi-K2.6	moonshotai	text,image	text	5	novita,together,fireworks-ai,featherless-ai,deepinfra	true	true	262144
openai/gpt-oss-120b	openai	text	text	11	groq,novita,cerebras,sambanova,nscale,together,fireworks-ai,featherless-ai,scaleway,ovhcloud,deepinfra	true	true	131072
